,ref,ans,bleu-1,bleu-2,bleu-3,bleu-4
299,umm it costs each time you do this,oh my god,0.0,0.0,0.0,0.0
300,i am strong i'll show you,what,0.0,0.0,0.0,0.0
301,uhoh,i am,0.0,0.0,0.0,0.0
302,i'm just gonna go flush myself down the toilet now,yeah you're great okay let's take it from,0.0,0.0,0.0,0.0
303,you know the guys are probably having a great time,no i mean i was really acting my ass off,0.0,0.0,0.0,0.0
304,i don't care you just get him,yeah i thought i was pretty good too,0.125,0.0,0.0,0.0
305,i don't know tag how can your genitals make phone calls okay it's not a perfect world just go please,oh yeah you're solid yeah you're just no me,0.03273054,0.0,0.0,0.0
306,i mean that ain't a pretty picture in the morning y'know what i mean,y'know what i think that's enough for now yeah i don't want to be over rehearsed,0.25,0.18257419,0.13353145,0.0
307,oh that makes me feel so warm in my hollow tin chest,fine,0.0,0.0,0.0,0.0
308,you spend half your life in the bathroom why don't you ever go out the bloody window,i'll do it without you,0.01814359,0.0,0.0,0.0
309,hey,i don't need you or anybody else,0.0,0.0,0.0,0.0
310,i'm like the bing bing bing,i'm gonna make it on my own,0.14285714,0.0,0.0,0.0
311,oh it's bing sir i'm sorry i was just ah,you'll see,0.0,0.0,0.0,0.0
312,i guess the last time we really hung out was when our parents rented that beach house together,you'll,0.0,0.0,0.0,0.0
313,i guess you'd know that being one of the two of us though right,i didn't know ross and you were so close,0.12750076,0.0,0.0,0.0
314,okay great,we weren't but we had one class together he was such a great guy and he talked so passionately about science i always remembered him,0.04,0.0,0.0,0.0
315,i love you too,i'm sure that would mean a lot to him,0.0,0.0,0.0,0.0
316,i'm from long island,and if heaven has a door i'm sure he's pressing his ear up against it and listening intently,0.05555556,0.0,0.0,0.0
317,y'know what i am,i thought so many times about calling him and asking him out i guess i really missed my chance,0.05263158,0.0,0.0,0.0
318,y'know they're not gonna get married anyway,but you didn't,0.0,0.0,0.0,0.0
319,well then let's just quit we'll just quit let's all quit,i'm still alive,0.0,0.0,0.0,0.0
320,i'm divorced and i have a kid,kori i know this is a big surprise for you,0.2,0.0,0.0,0.0
321,oh come on i think he's ready to get rid of what did you call it the cheap knockoffs and dinosaur junk,it's a long story but the things you just said really made my day,0.08067402,0.0,0.0,0.0
322,ah must've been fairly obvious since it was the only thing left in your store,i mean the fact that you are here means more to me than if this room were filled with people,0.05,0.0,0.0,0.0
323,oh yeah really is it ross yeah okay well let me make this a just a little bit easier for you,you sick freak who does that i can't believe i had a crush on you,0.08937601,0.0,0.0,0.0
324,umm well umm grandma died,did you hear that kori weston had a crush on me,0.0,0.0,0.0,0.0
325,why not,okay,0.0,0.0,0.0,0.0
326,okay,so eight days late huh,0.0,0.0,0.0,0.0
327,i buty'know i'm gonna go out with him again i'll find out more,yeah,0.0,0.0,0.0,0.0
328,did you not hear me before when i told you that all of janine's friends are dancers,you must be a little uncomfortable,0.02664662,0.0,0.0,0.0
329,i wasn't gonna walk all the way back down here with one shoe,eh just a tad,0.0,0.0,0.0,0.0
330,okay you're coming with me and i also told them that if we're still here when they get off that we'll go down to the cafeteria and have some,you're about percent effaced so you're on your way,0.01204089,0.0,0.0,0.0
331,oh shoot maybe next time thanks for a lovely evening,it still could last a little while longer,0.0973501,0.0,0.0,0.0
332,y'know she'd say no but here we are,if you're anxious there are a few ways to help things along,0.08333333,0.0,0.0,0.0
333,i think on some levels she already knows,do them,0.0,0.0,0.0,0.0
334,it doesn't matter because nothing beats a three and a six,actually they're things you can do just some home remedies but in my experience i've found that some of them are quite effective,0.0,0.0,0.0,0.0
335,i used to,well we are ready to try anything,0.14285714,0.0,0.0,0.0
336,we're so stupid do you know what's going on in there they're trying to take joey,okay there's an herbal tea you can drink,0.04598493,0.0,0.0,0.0
337,so the people that knew about our wedding before me were you phoebe and rachel heldi and apparently some band called starlight magic who are available by the way,okay,0.0,0.0,0.0,0.0
338,i mean you're my favorite guy in the whole world,oh she misunderstood she thought she was moving to tulsa,0.0,0.0,0.0,0.0
339,you be careful now you don't want to get a reputation as y'know professor mcnailshisstudents,ok ok here we go,0.0,0.0,0.0,0.0
340,okay okay look i know i'm being mr inappropriate today but it's just so tough i mean see you walking around and i just wanna touch you and hold you come on no one's around just just kiss me,ok where am i talking to here,0.0014776,0.0,0.0,0.0
341,oh that's not what you want,i mean uh well there is one way that seems to offer a certain acoustical advantage but,0.0,0.0,0.0,0.0
342,um we have a reservation under the name chandler bing,just aim for the bump,0.07357589,0.0,0.0,0.0
343,yeah or or or mississpete,ok ok ok ok here goes,0.0,0.0,0.0,0.0
344,i'll take a card,you know i you know can't do this,0.0,0.0,0.0,0.0
345,hey i can be smooth,uh this is too weird,0.0,0.0,0.0,0.0
346,i got it a flea market,i feel stupid,0.12262648,0.0,0.0,0.0
347,i'm not even getting married okay this is a question for science fiction writers,so don't do it it's fine you don't have to do it just because susan does it,0.0,0.0,0.0,0.0
348,umm okay yeah sure but whwhat's wrong with monica and chandler,hello baby hello hello,0.0,0.0,0.0,0.0
349,i mean that ain't a pretty picture in the morning y'know what i mean,okay i do,0.00852051,0.0,0.0,0.0
350,okay oh god y'know what it's really bad,okay,0.00091188,0.0,0.0,0.0
351,you don't think this is too fast,i really do,0.0,0.0,0.0,0.0
352,yeah listen,okay i'm gonna get your coat and then i'lli'll put you in a cab,0.0,0.0,0.0,0.0
353,we'll be right there can't you just say it starts later,okay oh wait waitwait you're not gonna come with me,0.0,0.0,0.0,0.0
354,okay look look let me ask you a question when they were doing it on stage was it like really hot,of course i am i just have to make a call,0.03662639,0.0,0.0,0.0
355,well basically lately i've uh i've uh sort of had feelings for you,okay,0.0,0.0,0.0,0.0
356,oh my god what a great surprise this is such a beautiful house,okay,0.0,0.0,0.0,0.0
357,okay one thing at a time,thank you oww god,0.0,0.0,0.0,0.0
358,oh okay y'know what this is,what i wh what's wrong,0.16374615,0.0,0.0,0.0
359,we're sorry pheebs we're sorry,i'm sorry i just can't go to the hospital lookin' like this,0.08333333,0.0,0.0,0.0
360,oh come on we just had this huge fight all right don't i have to wait a while,run run you crazy rich freak,0.0,0.0,0.0,0.0
361,we have a good time,oh i can't watch this,0.0,0.0,0.0,0.0
362,please what about you and chandler,check it out he's winning pete's winning,0.0,0.0,0.0,0.0
363,i mean you're not the only ones on your honeymoon,really,0.0,0.0,0.0,0.0
364,i tell you this wedding is not going to happen,nooo,0.0,0.0,0.0,0.0
365,i'm sorry i'm done i'm done,uhoh bruiser has becker on the canvas and is going for his favourite area,0.0,0.0,0.0,0.0
366,well then we'll get wet,oh oh,0.0,0.0,0.0,0.0
367,excuse me doug hey there sports fan,wait if that's his favourite area why is he being so mean to it,0.0,0.0,0.0,0.0
368,i know i know it turns out that one of the casting ladies has actually seen me in a play so i steered clear of her,well this is ironic,0.0,0.0,0.0,0.0
369,i can't believe you're not picking me,of your last two boyfriends richard didn't want to have kids and from the looks of it now pete can't,0.05,0.0,0.0,0.0
370,yeah,we could or we can have sex in it,0.0,0.0,0.0,0.0
371,well i'll tell ya i do enjoy guilt but ah it wasn't me,well let me think about that while i remove my pants,0.22738716,0.0,0.0,0.0
372,oh my god,hey i'm with you he even asked me if i thought you'd go out with him,0.0,0.0,0.0,0.0
373,hey you ok,oh oh i think i'm gonna throw up a little bit what did you say,0.06666667,0.0,0.0,0.0
374,well then what is it,i said no,0.0,0.0,0.0,0.0
375,oh was she hot,what,0.0,0.0,0.0,0.0
376,embryossss as in more than one,what ii just figured since you're pregnant you're not gonna be seeing people,0.0,0.0,0.0,0.0
377,umm this stuffing is amazing do you think we should bring them some,goodgood don't tell him don't tell him just have him call me okay,0.0,0.0,0.0,0.0
378,i don't know i didn't come with her,rach look i really don't think that's such a great,0.2,0.0,0.0,0.0
379,okay yeah yeah i'll grab this one,okay you go do it i'll come back to that set i'll meet more actors i'll meet em all,0.10526316,0.0,0.0,0.0
380,y'know what i think it is,that's okay,0.0,0.0,0.0,0.0
381,thanks chandler,she's still in there enjoying her fake party and uh it's too late to do any of the things i had planned so,0.0,0.0,0.0,0.0
382,you get the pretty one i get the mess,you tell them to wait,0.08986579,0.0,0.0,0.0
383,i mean you're not the only ones on your honeymoon,okay wait wait,0.0,0.0,0.0,0.0
384,let me see the earrings,emily,0.0,0.0,0.0,0.0
385,oh well the woman i interviewed with was pretty tough but y'know thank god mark coached me because once i started talking about the fall line she got all happy and wouldn't shut up,oh nonono ohno no no emily,0.00156726,0.0,0.0,0.0
386,i don't know but one of the extras sure did hey listen rach thanks again for coming down to watch my scenes,okay,0.0,0.0,0.0,0.0
387,hey it's starting to snow,nevermind,0.0,0.0,0.0,0.0
388,well not just lemonade iced tea sometimes juice,no ii actually thought it was unfair the way everyone reacted i mean you had just moved in,0.05555556,0.0,0.0,0.0
389,y'know the charity was a big success and they raised a lot of money and awareness,jen,0.0,0.0,0.0,0.0
390,yeah is sidney there oh this is sidney's a woman,jen i know this may sound a little but uh would you maybe wanna grab a cup of coffee sometime or,0.0952381,0.0,0.0,0.0
391, TheNitromegas me too,sure that would be nice,0.0,0.0,0.0,0.0
392,we're so stupid do you know what's going on in there they're trying to take joey,umm,0.0,0.0,0.0,0.0
393,yeah uh what am i gonna do,oh my number is on there give me a call,0.0,0.0,0.0,0.0
394,hey,i will give you a call,0.0,0.0,0.0,0.0
395,uhoh,i'll see you later,0.0,0.0,0.0,0.0
396,oh over reacted a little,okay,0.0,0.0,0.0,0.0
397,so you owe me three pretty things,i forgot my paper,0.0,0.0,0.0,0.0
398,we'd better take these pants off upstairs or that stain's gonna set,what,0.0,0.0,0.0,0.0
399,thanks,okay,0.0,0.0,0.0,0.0
400,well we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know can't stop staring at the ladies,ow,0.0,0.0,0.0,0.0
401,oh my god what are you doing here,aren't you gonna go,0.09196986,0.0,0.0,0.0
402,oh god,no thank you,0.0,0.0,0.0,0.0
403,joey what are you doing,no rachel never pees in public restrooms,0.0,0.0,0.0,0.0
404,uh it was very nice meeting you,well they never have any paper in there y'know so my rule is no tissue no tuschy' well if everybody's going,0.0,0.0,0.0,0.0
405,hey it's porsche,no y'know what don't close it cause the keysare in there,0.0,0.0,0.0,0.0
406,i mean that's got to come in handy,oh nononononono,0.0,0.0,0.0,0.0
407,i don't know i mean you were a lot bigger i mean stronger back then,what's going on,0.0,0.0,0.0,0.0
408,i know this isn't the kind of thanksgiving that all of you all planned but for me this has been really great you know i think because it didn't involve divorce or projectile vomiting,my lighter's in there,0.0,0.0,0.0,0.0
409,oh my god ross,although don't feel like you can't visit,0.0,0.0,0.0,0.0
410,umm y'know they want you so much so when you guys get in there really grab on,hey is is is chandler here,0.0,0.0,0.0,0.0
411,yeah the lovely amanda gives me her number and ii go and drop it,no no he's not,0.0,0.0,0.0,0.0
412,i don't know i've never had to use the other one,you guys joey just saw janice kissing her exhusband,0.0,0.0,0.0,0.0
413,why don't we why don't we see what kind of number he has on his speed dial and then from that we can tell who has more in common with him,what so what are you going to do i mean how how are you going to tell chandler,0.05396353,0.0,0.0,0.0
414,i don't know tag how can your genitals make phone calls okay it's not a perfect world just go please,well i was thinking about that and i i think the best way would be to not,0.09861452,0.0,0.0,0.0
415,umm it costs each time you do this,joey you can't keep this to yourself if you know about this you have to tell him,0.11764706,0.0,0.0,0.0
416,okay okay this can go on for a while,it'll kill him i mean it'll it'll just kill him,0.0,0.0,0.0,0.0
417,all right man this is unbelievable i mean it's,well you could wait til i go to the dentist maybe,0.09090909,0.0,0.0,0.0
418,oh i know i helped pick out the ring,well oh just ah i was just wondering when you and i split up did you get the tape that was half the last episode of,0.15384615,0.0,0.0,0.0
419,i mean doesn't she have any y'know other stripper moms friends of her own,ah yeah but now it's susan and me in mexico and the hostages coming home,0.0,0.0,0.0,0.0
420,well i'm sure they're still somewhere here in the hotel i'lli'll help you look for them,where's ben,0.0,0.0,0.0,0.0
421,you don't think this is too fast,he's sleeping,0.0,0.0,0.0,0.0
422,oh was she hot,ahh ooh is this a ah is this a bad time,0.0,0.0,0.0,0.0
423,well then he gets a divorce it's ross,umm yeah actually susan's gonna be home any minute it's kinda an anniversary,0.07692308,0.0,0.0,0.0
424,oh that's okay by the way i was just checking the shower massager,oh i thought you guys got married in uh january,0.14816364,0.0,0.0,0.0
425,i'd love to stay but i have eh got a hot date,it's not that kind of anniversary,0.0,0.0,0.0,0.0
426,well then he gets a divorce it's ross,ah oh,0.0,0.0,0.0,0.0
427,uh you've had a lot of sex right,sooo anyway,0.0,0.0,0.0,0.0
428,i know don't switch hands okay,oh oh oh i'll get rainy day bear',0.0,0.0,0.0,0.0
429,i'm sorry i think that you just misunderstood her,because he'll know what to do oh my god you're a genius,0.0,0.0,0.0,0.0
430,okay your highness,oh god oh god it's sowed on though,0.0,0.0,0.0,0.0
431,�so they ah they all took off it was pretty hard watching them go y'know,give it give it,0.01598197,0.0,0.0,0.0
432,oh yeah man joey,okay,0.0,0.0,0.0,0.0
433,yeah is sidney there oh this is sidney's a woman,oh,0.00012341,0.0,0.0,0.0
434,well i'm gonna go get one of those job things,oh it's just like a bloodbath in here today,0.0,0.0,0.0,0.0
435,oh yeah this is from rachel,yeah well there's a lot of things carol never did before i came along,0.07142857,0.0,0.0,0.0
436,i'm sorry i'm done i'm done,get in here,0.0,0.0,0.0,0.0
437,that's my job,come on,0.0,0.0,0.0,0.0
438,oh no thanks i got it no i don't,my god you guys i don't believe you,0.22062423,0.16677624,0.0,0.0
439,oh my god,there are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing,0.0,0.0,0.0,0.0
440,yeah but i thought that was because i put the whole thing on my hand and made it walk across the table,so just stop all the yelling just stop it,0.05241713,0.0,0.0,0.0
441,i mean you don't have to have this rustic italian feast,yeah susan,0.0,0.0,0.0,0.0
442,well i'm gonna get another espresso can i get you another latte,don't make me do this again i don't like my voice like this,0.07692308,0.0,0.0,0.0
443,i don't know tag how can your genitals make phone calls okay it's not a perfect world just go please,ok who wants to hear something ironic,0.0,0.0,0.0,0.0
444,oh that's right it's your first day so are you psyched to fight fake crime with your robot sidekick,i didn't do that who would've done that,0.0,0.0,0.0,0.0
445,well of,son of a bitch,0.25,0.0,0.0,0.0
446,oh yeah he's got that great baby smell get a whiff of his head,okay maybe ask this guy,0.0,0.0,0.0,0.0
447,okay,y'know sometimes the good ideas are just right in front of you aren't they,0.0,0.0,0.0,0.0
448,i used to think of you as somebody that would never ever hurt me ever,okay i know it sounds crazy but i think it might work y'know the only problem is carl's acting is,0.1,0.0,0.0,0.0
449,y'know they're not gonna get married anyway,the,0.0,0.0,0.0,0.0
450,oh my god,yeah he's the reason i didn't get that big,0.0,0.0,0.0,0.0
451,i think that if you really like this guy you should just trust him,hey uh can i get a little piece of that cake,0.13841825,0.0,0.0,0.0
452,�in' for chandler,pizza we like pizza get out,0.0,0.0,0.0,0.0
453,i'm gonna go get him okay i am going back in,sure i love this part,0.06023884,0.0,0.0,0.0
454,oh my god how did you do that,come on in,0.0,0.0,0.0,0.0
455,i hear ya mugsy,in the moment yeah,0.0,0.0,0.0,0.0
456,ohh god,but only in the moment so do ya wanna kiss again,0.0,0.0,0.0,0.0
457,great job team,sure new year's eve is only two weeks away can you wait,0.0,0.0,0.0,0.0
458,actually i do have one small complaint,no,0.0,0.0,0.0,0.0
459,i'd love to ask out your friend phoebe,me neither,0.0,0.0,0.0,0.0
460,oh my god you own an italian restaurant and you think that tastes good where are you even from,,0.0,0.0,0.0,0.0
461,how can i answer that when i'm pretending i don't know you,joey you don't have to count down every time we kiss,0.16601831,0.0,0.0,0.0
462,i'm a doctor cliff not a mathematician,uh yeah okay except i sorta felt like i needed a couple of seconds to get ready,0.05882353,0.0,0.0,0.0
463,i know this isn't the kind of thanksgiving that all of you all planned but for me this has been really great you know i think because it didn't involve divorce or projectile vomiting,okay okay,0.0,0.0,0.0,0.0
464,oh uh can it wait a second joey i have to tell my parents something no it can't okay,if i were omnipotent for a day i would want um world peace no more hunger good things for the rainforestand bigger boobs,0.13043478,0.0,0.0,0.0
465,my boyfriend really does have good taste,yeah see you took mine chandler what about you,0.0,0.0,0.0,0.0
466,yeah,uh if i were omnipotent for a day i'd make myself omnipotent forever,0.0,0.0,0.0,0.0
467,ohhh i'm fine,see there's always one guy if i had a wish i'd wish for three more wishes,0.0,0.0,0.0,0.0
468,i mean that ain't a pretty picture in the morning y'know what i mean,hey joey hi hey buddy,0.0,0.0,0.0,0.0
469,i know this isn't the kind of thanksgiving that all of you all planned but for me this has been really great you know i think because it didn't involve divorce or projectile vomiting,hey joey what would you do if you were omnipotent,0.01814359,0.0,0.0,0.0
470,oh you are the best friends anyone has ever had,probably kill myself,0.0,0.0,0.0,0.0
471,it's not kicking right now although we would love to see you do that again,excuse me,0.0,0.0,0.0,0.0
472,oh that's better then,hey if little joey's dead then i got no reason to live,0.08333333,0.0,0.0,0.0
473,so,joey uh,0.0,0.0,0.0,0.0
474,oh i know i could only think of two names him and ed begley jr and then i remembered he's gay,you,0.0,0.0,0.0,0.0
475,oh yeah did he pull the old,well can you at least stay to the end of the play,0.08333333,0.0,0.0,0.0
476,i wasn't by myself i had a doctor a nurse and a helper guy so did you see who won the game,i mean i'll go to the airport with ya ii wanna say good bye,0.08067402,0.0,0.0,0.0
477,okay i'm coming out hey can you turn the lights off,where are you vic,0.04344349,0.0,0.0,0.0
478,joey is a great guy but we're just so different i mean during your speech he kept laughing at homo erectus,flight's in an hour ii gotta go,0.0,0.0,0.0,0.0
479,oh nonono give me some specifics,vic vic,0.0,0.0,0.0,0.0
480,oh he brought her back to his apartment,in a minute,0.0,0.0,0.0,0.0
481,oh i wanna see lemme see lemme see,so this is it victor,0.0,0.0,0.0,0.0
482,i'm sorry you had to do this by yourself,yeah i guess it is,0.0,0.0,0.0,0.0
483,i got it uh joey women don't have adam's apples,listen i ah i gotta say good bye andand i gotta say it quick cause this is killing me,0.10526316,0.0,0.0,0.0
484,i know,one thing you gotta know is that i will never forget you,0.16666667,0.0,0.0,0.0
485,it's laminated,but you've got things you have to do now and so do i,0.0,0.0,0.0,0.0
486,no that's,and so i'm gonna get on this spaceship and i'm gonna go to blargon in search of alternative fuels,0.0,0.0,0.0,0.0
487,excuse me,but when i return years from now you'll be long gone,0.0,0.0,0.0,0.0
488,okay,but i won't have aged at all,0.0,0.0,0.0,0.0
489,y'know she's well she'sshe's just as pretty i guess she's smart she's,so you tell your greatgreatgranddaughter to look me up because adrienne baby i'm gonna want to meet her,0.0,0.0,0.0,0.0
490,okay,so long vic,0.0,0.0,0.0,0.0
491,well i'm gonna get another espresso can i get you another latte,see ii think that one that elton john wrote for um that guy on,0.0,0.0,0.0,0.0
492,i don't know ooh ooh look it ahha,what song was that pheebs,0.0,0.0,0.0,0.0
493,that's not a state joe,hi monica,0.0,0.0,0.0,0.0
494,i'm sorry i'm so sorry,hey mon,0.0,0.0,0.0,0.0
495,i guess you wouldn't believe me if i said i was kurt douglas huh,hey mon,0.0,0.0,0.0,0.0
496,�so what are they doing,oh my god has she slept at all,0.0,0.0,0.0,0.0
497,i can't believe he did this,nope,0.0,0.0,0.0,0.0
498,okay he's cute he's funny he's,no it's been three nights in a row,0.0,0.0,0.0,0.0
499,i mean that's got to come in handy,yeah she finally stopped crying yesterday but then she found one of richard's cigar butts out on the terrace so,0.0,0.0,0.0,0.0
500,yeah but jason's really sensitive,oh okay that explains it,0.0,0.0,0.0,0.0
501,oh that one is available now but only identical twins are eligible it's a twins study,i got a call at two in the morning but all i could hear was like this high squeaky sound so i thought okay its like a mouse or a opossum,0.06451613,0.0,0.0,0.0
502,y'know when i'm with her i am so much more than that,but then i realized where would a mouse or a opossum get the money to make the phone call,0.05263158,0.0,0.0,0.0
503,oh yeah of course you don't,y'know what i don't know how comfortable i am going to see how hot the sex is between some guy and your girlfriend,0.04347826,0.0,0.0,0.0
504,i mean doesn't she have any y'know other stripper moms friends of her own,yeah i know but,0.02052125,0.0,0.0,0.0
505,i don't know,oh nonono i'm there,0.0,0.0,0.0,0.0
506,i don't know,hey,0.0,0.0,0.0,0.0
507,joey this is,hey mon want some pancakes,0.0,0.0,0.0,0.0
508,uh it's an exact replica of apollo,you made pancakes,0.0,0.0,0.0,0.0
509,ooh how about agamemnon,yep grab a plate,0.0,0.0,0.0,0.0
510,thanks,nono stay right there gettin' closer,0.0,0.0,0.0,0.0
511,when my sisters were pregnant they got every weird feeling in the book it was always nothing,okay okay but don't worry because we also have cereals muffins waffles,0.0,0.0,0.0,0.0
512,well then we'll get wet,listen also we're uh we're watching the game here saturday night if people want to come over,0.0,0.0,0.0,0.0
513,yeah yeah i remember trying to steal a cardboard cutout of evander holyfield from a,oh yeah,0.00075172,0.0,0.0,0.0
514,well then we'll get wet,yeah hero sandwiches,0.0,0.0,0.0,0.0
515,oh yeah well y'know chandler printed it up on his computer,well you all know that i'm a pacifist so i'm not interested in war in any way,0.05882353,0.0,0.0,0.0
516,i mean this picture is supposed to say geller and bing to be married not local woman saves drowning moron,when the revolution comes i will have to destroy you all,0.08022421,0.0,0.0,0.0
517,i wasn't by myself i had a doctor a nurse and a helper guy so did you see who won the game,not you joey,0.00059203,0.0,0.0,0.0
518,well so,hey continuing the countdown of your favorite meals tonight no macaroni and cheese with cut up hot dogs,0.0,0.0,0.0,0.0
519,we're still on this side of the door,look you have done enough okay you have to stop this now,0.08333333,0.0,0.0,0.0
520,i don't know i can't tell what ever it was went back in too quickly,i will but not tonight for dinner music i thought we could listen to that tape you made me,0.10526316,0.0,0.0,0.0
521,and i'm happy for ya but i'm tired of having a relationship with your answering machine,oh the mixed tape,0.0,0.0,0.0,0.0
522,y'know i was worried that you know they would maybe an unbearable living situation,the way you look tonight,0.03305978,0.0,0.0,0.0
523,you know there's nothing wrong with speaking correctly,you are just the sweetest,0.10976233,0.0,0.0,0.0
524,i guess the last time we really hung out was when our parents rented that beach house together,hey,0.0,0.0,0.0,0.0
525,let's also get a hot plate,hey guess what i'm doing tonight,0.0,0.0,0.0,0.0
526,i mean you're not the only ones on your honeymoon,what,0.0,0.0,0.0,0.0
527,wow imagine what our kids would look like,i'm checking out the restaurant with pete,0.0,0.0,0.0,0.0
528,cause i ran into him at the bank he is still soo cute,ohh monica i am so excited for you,0.06690768,0.0,0.0,0.0
529,i'll take sports,ooh actually i've been making a list of all the women i know who might be into doing this,0.0,0.0,0.0,0.0
530,i mean uh did you know you were mouthing the words along with me,oh wow huh boy well someone's been doing their homework,0.0,0.0,0.0,0.0
531,gas me too,yeah ooh and i know gail rosten is in there twice but she is so,0.0,0.0,0.0,0.0
532,oh come on,oh i know y'know justjust talking about it is getting me kinda,0.08333333,0.0,0.0,0.0
533,i got no sleep last night,oh me too,0.0,0.0,0.0,0.0
534,you went to one where you were popular and you got to ride off chip's motorcycle and wear his letterman jacket,ross it just wouldn't have been feasible,0.0,0.0,0.0,0.0
535,cause you're a little princess daddy buy me a pizza daddy buy me a candy factory daddy make the cast of,but having a dove place the ring on your finger would've been no problem,0.08664724,0.0,0.0,0.0
536,hey how are you guys doing,it was really fun being married to you tonight,0.11111111,0.0,0.0,0.0
537,i'm like the bing bing bing,yeah and and it was the easiest bucks i've ever made,0.09090909,0.0,0.0,0.0
538,oh that makes me feel so warm in my hollow tin chest,okay ross can i uh can i ask you something,0.0,0.0,0.0,0.0
539,remember when you were a little kid i used to take you to the navy yard and show you the big ships,yeah,0.0,0.0,0.0,0.0
540,i'm not getting into this again,that proposal at the planetarium,0.0,0.0,0.0,0.0
541,oh oh my god,i know i know it was stupid,0.0,0.0,0.0,0.0
542,oh i know i helped pick out the ring,are you kidding,0.0,0.0,0.0,0.0
543,you told her before you told us,with the with the lilies andand the song and the stars,0.0,0.0,0.0,0.0
544,i guess you'd know that being one of the two of us though right,it wasreally wonderful,0.0,0.0,0.0,0.0
545,oh that's better then,did you just make that up,0.0,0.0,0.0,0.0
546,ahh,no actually i thought about it when when we were going out,0.0,0.0,0.0,0.0
547,okay sorry,it's how i imagined i uh i would ask you to marry me,0.0,0.0,0.0,0.0
548,i'm i'm monana,well that would've been very hard to say no too,0.0,0.0,0.0,0.0
549,i'm from long island,it's a good thing i didn't do it because it sounds like it would've been a very expensive wedding okay good night,0.0,0.0,0.0,0.0
550,you really sure,goodnight,0.0,0.0,0.0,0.0
551,umm,even if the sidecar had a windscreen so your hair wouldn't get messed up,0.0,0.0,0.0,0.0
552,i guess you'd know that being one of the two of us though right,i will think about it,0.03305978,0.0,0.0,0.0
553,i'm sorry but i'm not hanging all my hopes of rachel and i living together onon probably,that's all i'm askin',0.0193871,0.0,0.0,0.0
554,so that's the only reason she could be here huh,well actually ii didn't eat mine it's still in the bathroom,0.09090909,0.0,0.0,0.0
555,oh my god how did you do that,no it isn't i ate that,0.11942189,0.0,0.0,0.0
556,i'm marrying her,well we left ours in monica's bedroom,0.0,0.0,0.0,0.0
557,please what about you and chandler,nope got it and i got yours too,0.125,0.0,0.0,0.0
558,i'm andrew and i didn't pay for this pear,that's fine actually i'm on the hiring committee so there'll be at least one friendly face,0.0625,0.0,0.0,0.0
559,y'know the charity was a big success and they raised a lot of money and awareness,ohh that's great,0.0,0.0,0.0,0.0
560,uhoh,you know junior miss is where i started oh i had to sleep with the,0.0,0.0,0.0,0.0
561,y'know what else i'm not gonna miss,really,0.0,0.0,0.0,0.0
562,ohoh you lie,nohoho,0.0,0.0,0.0,0.0
563,no no man he's not no why are you trying to ruin the game come on,yeah,0.0,0.0,0.0,0.0
564,well i'm going to go get one of those job things,i mean nonononono don't you worry i'm sure with your qualifications you won't need to sleep with some guy to get that job,0.17391304,0.0,0.0,0.0
565,okay well if i was in this for the money i'd be a millionaire by now y'know,although i might need some convincing,0.02664662,0.0,0.0,0.0
566,okay i'm not gonna have one,well i umm,0.0,0.0,0.0,0.0
567,oh,kidding god i feel wild today,0.0,0.0,0.0,0.0
568,i'm sorry do i know you,yeah but maybe it's not what we think maybe it's tell monica i'm sorry idrank the last of the milk,0.1,0.07254763,0.0,0.0
569,i got it,or maybe hehe was writing to tell her thatthat he's changed his name y'know tell monica i'm sorry,0.0,0.0,0.0,0.0
570,y'know they're not gonna get married anyway,i think it means he freaked out and left,0.0,0.0,0.0,0.0
571,okay butbut imagine a lot more lights okay andand y'know fewer bricks andandand flowers and candles,don't be so negative good god isn't it possible that sorry is sitting in there right now,0.0,0.0,0.0,0.0
572,ahh,okay phoebe ii think ross is right what are we gonna do,0.0,0.0,0.0,0.0
573,well then we'll get wet,lookokay i'm just gonnai'm gonna have to go find him and bring him back,0.0,0.0,0.0,0.0
574,i'm gonna go find that guy's car and leave a note on the windshield,okay,0.0,0.0,0.0,0.0
575,i'm sorry i do that,youyou make sure monica does not find out okay,0.0,0.0,0.0,0.0
576,oh my god what are you doing here,hi hey,0.0,0.0,0.0,0.0
577,oh wait and on the nineteenth a secret crush announces itself,do you guys know any cute guys,0.0,0.0,0.0,0.0
578,oh well y'know the gala had to end sometime,well of course i do my good friend joey over here,0.09090909,0.0,0.0,0.0
579,okay,oh i'm sorry thank you chandler,0.0,0.0,0.0,0.0
580,and this is rachel,anyway there's this big charity ball this weekend and ralph lauren bought a table so i kinda have to go,0.1,0.0,0.0,0.0
581,oh i'm not i just like to try these on,what's the charity,0.0,0.0,0.0,0.0
582,oh i wanna see lemme see lemme see,i don't know something either trees or diseaseralph mumbles a lot,0.09090909,0.0,0.0,0.0
583,it's not like we run in the same circles,does ralph mumble when you're not paying attention,0.11031211,0.0,0.0,0.0
584,yeah over at dinner with chuck magioni,yeah it's weird but the thing is need to find a date,0.08333333,0.0,0.0,0.0
585,oh yeah of course you don't,well what kind of guy are you looking for,0.22222222,0.0,0.0,0.0
586,iii don't know i don't know what to say,what are you guys doing later,0.10108844,0.0,0.0,0.0
587,yeah,oh rachel and i have appointments to get our hair cut,0.0,0.0,0.0,0.0
